,Artist,Song
1,BTS,MAP OF THE SOUL : 7
2,YoungBoy Never Broke Again,"Still Flexin, Still Steppin"
3,Ozzy Osbourne,Ordinary Man
4,Justin Bieber,Changes
5,Roddy Ricch,Please Excuse Me For Being Antisocial
6,A Boogie Wit da Hoodie,Artist 2.0
7,Post Malone,Hollywood's Bleeding
8,Pop Smoke,"Meet The Woo, V.2"
9,Trippie Redd,A Love Letter To You 4
10,Billie Eilish,"When We All Fall Asleep, Where Do We Go?"
11,Eminem,Music To Be Murdered By
12,Soundtrack,Frozen II
13,Harry Styles,Fine Line
14,DaBaby,KIRK
15,Halsey,Manic
16,Taylor Swift,Lover
17,Tame Impala,The Slow Rush
18,Luke Combs,What You See Is What You Get
19,JACKBOYS,JACKBOYS
20,Summer Walker,Over It
21,Post Malone,beerbongs & bentleys
22,Lizzo,Cuz I Love You
23,YoungBoy Never Broke Again,AI YoungBoy 2
24,Lil Wayne,Funeral
25,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
26,Young Thug,So Much Fun
27,Rod Wave,Ghetto Gospel
28,Juice WRLD,Goodbye & Good Riddance
29,Doja Cat,Hot Pink
30,Luke Combs,This One's For You
31,Billie Eilish,Dont Smile At Me
32,Grimes,Miss Anthropocene
33,Camila Cabello,Romance
34,Juice WRLD,Death Race For Love
35,Queen,Greatest Hits
36,Drake,Scorpion
37,Travis Scott,ASTROWORLD
38,Tones And I,The Kids Are Coming (EP)
39,Selena Gomez,Rare
40,Moneybagg Yo,Time Served
41,Post Malone,Stoney
42,Ed Sheeran,No.6 Collaborations Project
43,Chris Brown,Indigo
44,Morgan Wallen,If I Know Me
45,Mustard,Perfect Ten
46,Elton John,Diamonds
47,Lil Mosey,Certified Hitmaker
48,Khalid,Free Spirit
49,Mac Miller,Circles
50,Blake Shelton,Fully Loaded: God's Country
51,Lil Nas X,7 (EP)
52,Ariana Grande,"Thank U, Next"
53,XXXTENTACION,?
54,Various Artists,Dreamville & J. Cole: Revenge Of The Dreamers III
55,Original Broadway Cast Recording,Hamilton: An American Musical
56,Lil Tjay,True 2 Myself
57,Soundtrack,ZOMBIES 2
58,"Royce da 5'9""",The Allegory
59,Ed Sheeran,÷ (Divide)
60,The Amity Affliction,Everyone Loves You... Once You Leave Them
61,Eminem,Curtain Call: The Hits
62,The Weeknd,Starboy
63,Khalid,American Teen
64,YNW Melly,Melly vs. Melvin
65,DaBaby,Baby On Baby
66,Kane Brown,Experiment
67,A Boogie Wit da Hoodie,Hoodie SZN
68,Lil Uzi Vert,Luv Is Rage 2
69,NF,The Search
70,Creedence Clearwater Revival Featuring John Fogerty,Chronicle The 20 Greatest Hits
71,Shawn Mendes,Shawn Mendes
72,Bob Marley And The Wailers,Legend: The Best Of...
73,Maren Morris,GIRL
74,Lauren Daigle,Look Up Child
75,Lil Tecca,We Love You Tecca
76,The Weeknd,Beauty Behind The Madness
77,Kendrick Lamar,DAMN.
78,Chris Stapleton,Traveller
79,Cardi B,Invasion Of Privacy
80,Yo Gotti,Untrapped
81,Journey,Journey's Greatest Hits
82,Fleetwood Mac,Rumours
83,The Beatles,1
84,King Krule,Man Alive!
85,Dan + Shay,Dan + Shay
86,Jonas Brothers,Happiness Begins
87,Trevor Daniel,Homesick (EP)
88,Russ,SHAKE THE SNOW GLOBE
89,"Tyler, The Creator",IGOR
90,Drake,Take Care
91,2Pac,Greatest Hits
92,Pat Metheny,From This Place
93,The Beatles,Abbey Road
94,Meek Mill,Championships
95,Various Artists,"Quality Control: Control The Streets, Volume 2"
96,Polo G,Die A Legend
97,Bad Bunny,X 100PRE
98,Soundtrack,Moana
99,Brent Faiyaz,Fuck The World
100,Old Dominion,Old Dominion
101,Soundtrack,Frozen
102,J. Cole,2014 Forest Hills Drive
103,Soundtrack,The Greatest Showman
104,Key Glock,Yellow Tape
105,Pop Smoke,"Meet The Woo, V. 1 Mixtape"
106,Drake,Views
107,$uicideBoy$,Stop Staring At The Shadows
108,Kendrick Lamar,"good kid, m.A.A.d city"
109,Young Nudy,Anyways...
110,XXXTENTACION,17
111,Kevin Gates,I'm Him
112,Tom Petty And The Heartbreakers,Greatest Hits
113,Lil Baby & Gunna,Drip Harder
114,Taylor Swift,1989
115,Imagine Dragons,Evolve
116,Lady Gaga & Bradley Cooper,A Star Is Born (Soundtrack)
117,Soundtrack,Birds Of Prey: The Album
118,Nipsey Hussle,Victory Lap
119,The Notorious B.I.G.,Greatest Hits
120,AC/DC,Back In Black
121,Travis Scott,Birds In The Trap Sing McKnight
122,Jason Aldean,9
123,Drake,More Life
124,Tory Lanez,Chixtape 5
125,Myke Towers,Easy Money Baby
126,Michael Jackson,The Essential Michael Jackson
127,24kGoldn,Dropped Outta College
128,Kane Brown,Kane Brown
129,Trippie Redd,Life's A Trip
130,NF,Perception
131,SZA,Ctrl
132,H.E.R.,H.E.R.
133,BTS,Love Yourself: Answer
134,Thomas Rhett,Center Point Road
135,Bob Seger & The Silver Bullet Band,Greatest Hits
136,Calboy,Long Live The Kings (EP)
137,Guns N' Roses,Appetite For Destruction
138,Panic! At The Disco,Pray For The Wicked
139,Taylor Swift,reputation
140,21 Savage,I Am > I Was
141,Lil Baby,Harder Than Ever
142,Mac Miller,Swimming
143,Bruno Mars,Doo-Wops & Hooligans
144,Nirvana,Nevermind
145,Five Finger Death Punch,A Decade Of Destruction
146,Billy Joel,The Essential Billy Joel
147,Eagles,Their Greatest Hits 1971-1975
148,Ella Mai,Ella Mai
149,Metallica,Metallica
150,Roddy Ricch,Feed Tha Streets II
151,Bazzi,Cosmic
152,Michael Jackson,Thriller
153,Adele,21
154,Daryl Hall John Oates,The Very Best Of Daryl Hall  John Oates
155,Drake,Nothing Was The Same
156,Sam Smith,In The Lonely Hour
157,twenty one pilots,Blurryface
158,Playboi Carti,Die Lit
159,Ashe,Moral Of The Story: Chapter 1 (EP)
160,MONSTA X,ALL ABOUT LUV
161,Frank Ocean,Blonde
162,Elvis Presley,The Essential Elvis Presley
163,Rihanna,ANTI
164,Zac Brown Band,Greatest Hits So Far...
165,Linkin Park,[Hybrid Theory]
166,BrockHampton,GINGER
167,Bryson Tiller,T R A P S O U L
168,Tink,Hopeless Romantic
169,Ed Sheeran,x
170,Surfaces,Where The Light Is
171,Frank Sinatra,Ultimate Sinatra
172,Ariana Grande,Sweetener
173,Kacey Musgraves,Golden Hour
174,The Beach Boys,Sounds Of Summer: The Very Best Of The Beach Boys
175,Imagine Dragons,Night Visions
176,Joji,BALLADS 1
177,Beyonce,I Am...Sasha Fierce
178,"Tyler, The Creator",Flower Boy
179,Lil Wayne,Tha Carter V
180,YoungBoy Never Broke Again,Until Death Call My Name
181,Bon Jovi,Greatest Hits: The Ultimate Collection
182,Lana Del Rey,Born To Die
183,Migos,Culture II
184,Barry Manilow,Night Songs II
185,Florida Georgia Line,Can't Say I Ain't Country
186,Jason Aldean,Rearview Town
187,Tame Impala,Currents
188,Wale,Wow... That's Crazy
189,Dustin Lynch,Tullahoma
190,Carly Pearce,Carly Pearce
191,Green Day,Father Of All...
192,Soundtrack,Bad Boys For Life: The Soundtrack
193,J Balvin & Bad Bunny,Oasis
194,Gunna,Drip Or Drown 2
195,Beyonce,Beyonce
196,Blake Shelton,Reloaded: 20 #1 Hits
197,Jon Pardi,California Sunrise
198,Kodak Black,Dying To Live
199,Riley Green,Different 'Round Here
200,George Strait,50 Number Ones
